,path,age
614032,common_voice_en_23177986.wav,teens
605984,common_voice_en_17287592.wav,teens
194013,common_voice_en_21977418.wav,teens
844212,common_voice_en_20522409.wav,teens
1162986,common_voice_en_18618054.wav,teens
1169716,common_voice_en_20934379.wav,teens
886123,common_voice_en_700664.wav,teens
1167083,common_voice_en_19838271.wav,teens
1168401,common_voice_en_20466460.wav,teens
235749,common_voice_en_121237.wav,teens
184859,common_voice_en_17689769.wav,teens
13614,common_voice_en_18857333.wav,teens
640863,common_voice_en_574495.wav,teens
1162121,common_voice_en_15904122.wav,teens
343214,common_voice_en_18667868.wav,teens
1049200,common_voice_en_17636327.wav,teens
313751,common_voice_en_2189358.wav,teens
819935,common_voice_en_21719882.wav,teens
1050447,common_voice_en_18340024.wav,teens
692564,common_voice_en_18615039.wav,teens
509414,common_voice_en_22151513.wav,teens
1164956,common_voice_en_19089387.wav,teens
238969,common_voice_en_17284545.wav,teens
1093256,common_voice_en_23834607.wav,teens
209927,common_voice_en_18531666.wav,teens
706646,common_voice_en_551438.wav,teens
1164148,common_voice_en_18945735.wav,teens
2631,common_voice_en_671188.wav,teens
689628,common_voice_en_23565030.wav,teens
528949,common_voice_en_21821187.wav,teens
1048487,common_voice_en_17270073.wav,teens
787032,common_voice_en_18961885.wav,teens
985723,common_voice_en_18781996.wav,teens
692910,common_voice_en_613547.wav,teens
616942,common_voice_en_23751954.wav,teens
482550,common_voice_en_34473.wav,teens
308551,common_voice_en_21535136.wav,teens
1169494,common_voice_en_20853308.wav,teens
1163866,common_voice_en_18858556.wav,teens
454526,common_voice_en_18459597.wav,teens
1162154,common_voice_en_18415693.wav,teens
107876,common_voice_en_492758.wav,teens
854049,common_voice_en_22470996.wav,teens
724213,common_voice_en_23644137.wav,teens
831243,common_voice_en_21571664.wav,teens
510270,common_voice_en_595620.wav,teens
1038285,common_voice_en_20860912.wav,teens
523905,common_voice_en_155258.wav,teens
844215,common_voice_en_20522412.wav,teens
648285,common_voice_en_17290162.wav,teens
185320,common_voice_en_20777740.wav,teens
620330,common_voice_en_83627.wav,teens
1008372,common_voice_en_17283426.wav,teens
1170826,common_voice_en_21595127.wav,teens
550124,common_voice_en_22145321.wav,teens
1038549,common_voice_en_20876285.wav,teens
173054,common_voice_en_18624826.wav,teens
449885,common_voice_en_606266.wav,teens
187285,common_voice_en_661255.wav,teens
385942,common_voice_en_18841412.wav,teens
811042,common_voice_en_19087537.wav,teens
500400,common_voice_en_18841503.wav,teens
604911,common_voice_en_17255830.wav,teens
244122,common_voice_en_492699.wav,teens
419347,common_voice_en_663333.wav,teens
1093156,common_voice_en_23832635.wav,teens
1049678,common_voice_en_18342045.wav,teens
1164857,common_voice_en_19075867.wav,teens
267804,common_voice_en_23948548.wav,teens
419351,common_voice_en_663337.wav,teens
1169521,common_voice_en_20878366.wav,teens
94893,common_voice_en_17259570.wav,teens
317565,common_voice_en_19438962.wav,teens
1168674,common_voice_en_20562597.wav,teens
837927,common_voice_en_22248250.wav,teens
385922,common_voice_en_18841336.wav,teens
1165831,common_voice_en_19429225.wav,teens
395044,common_voice_en_691218.wav,teens
331016,common_voice_en_17721626.wav,teens
217174,common_voice_en_631955.wav,teens
837574,common_voice_en_698170.wav,teens
515033,common_voice_en_20000782.wav,teens
1050941,common_voice_en_23883913.wav,teens
504984,common_voice_en_18944030.wav,teens
1051141,common_voice_en_23930215.wav,teens
1008175,common_voice_en_17280657.wav,teens
633155,common_voice_en_681560.wav,teens
819532,common_voice_en_18409449.wav,teens
1048666,common_voice_en_17272220.wav,teens
314422,common_voice_en_19501703.wav,teens
563955,common_voice_en_17541690.wav,teens
1169679,common_voice_en_20920603.wav,teens
237822,common_voice_en_20048956.wav,teens
603911,common_voice_en_567818.wav,teens
923600,common_voice_en_18070298.wav,teens
921714,common_voice_en_17441713.wav,teens
416488,common_voice_en_19577626.wav,teens
1169093,common_voice_en_20704212.wav,teens
1050831,common_voice_en_18638369.wav,teens
688259,common_voice_en_17355260.wav,teens
832484,common_voice_en_20664761.wav,teens
399168,common_voice_en_155195.wav,teens
620861,common_voice_en_21242996.wav,teens
235581,common_voice_en_22077268.wav,teens
501847,common_voice_en_20052597.wav,teens
853907,common_voice_en_22467028.wav,teens
1170308,common_voice_en_21250713.wav,teens
737619,common_voice_en_23621476.wav,teens
4530,common_voice_en_17269872.wav,teens
632668,common_voice_en_638909.wav,teens
1166701,common_voice_en_19591750.wav,teens
837642,common_voice_en_698240.wav,teens
1091763,common_voice_en_22981590.wav,teens
670850,common_voice_en_22294304.wav,teens
844071,common_voice_en_20502392.wav,teens
174551,common_voice_en_19951162.wav,teens
605974,common_voice_en_17287577.wav,teens
921453,common_voice_en_17291935.wav,teens
1164927,common_voice_en_19081731.wav,teens
1050605,common_voice_en_18478376.wav,teens
49892,common_voice_en_22299609.wav,teens
742602,common_voice_en_23932430.wav,teens
258661,common_voice_en_24065797.wav,teens
509315,common_voice_en_22028896.wav,teens
798608,common_voice_en_23877010.wav,teens
1171255,common_voice_en_21754089.wav,teens
262956,common_voice_en_19640956.wav,teens
528932,common_voice_en_21821162.wav,teens
1093617,common_voice_en_23846309.wav,teens
514843,common_voice_en_638785.wav,teens
311999,common_voice_en_22066824.wav,teens
120780,common_voice_en_151863.wav,teens
692847,common_voice_en_613483.wav,teens
1092946,common_voice_en_23611238.wav,teens
787798,common_voice_en_23404355.wav,teens
348993,common_voice_en_19827419.wav,teens
1093538,common_voice_en_23846228.wav,teens
250406,common_voice_en_1427681.wav,teens
618398,common_voice_en_18592289.wav,teens
387269,common_voice_en_22499299.wav,teens
923343,common_voice_en_17869434.wav,teens
603991,common_voice_en_19439197.wav,teens
386701,common_voice_en_18885291.wav,teens
692579,common_voice_en_18615090.wav,teens
242970,common_voice_en_19972389.wav,teens
384622,common_voice_en_198404.wav,teens
1162580,common_voice_en_18502499.wav,teens
266903,common_voice_en_20649921.wav,teens
870956,common_voice_en_22407484.wav,teens
1165657,common_voice_en_19355264.wav,teens
356055,common_voice_en_17701009.wav,teens
1008374,common_voice_en_17283428.wav,teens
155851,common_voice_en_17476346.wav,teens
263824,common_voice_en_20917794.wav,teens
611407,common_voice_en_677027.wav,teens
679060,common_voice_en_18765761.wav,teens
1166390,common_voice_en_19533013.wav,teens
1165862,common_voice_en_19429273.wav,teens
339317,common_voice_en_19734568.wav,teens
39668,common_voice_en_19944135.wav,teens
214761,common_voice_en_19809401.wav,teens
547996,common_voice_en_19331691.wav,teens
436946,common_voice_en_545258.wav,teens
1163186,common_voice_en_18658119.wav,teens
1008664,common_voice_en_17297800.wav,teens
699038,common_voice_en_70831.wav,teens
166675,common_voice_en_18797597.wav,teens
288468,common_voice_en_19635464.wav,teens
1164031,common_voice_en_18897905.wav,teens
564435,common_voice_en_20110935.wav,teens
1165461,common_voice_en_19312576.wav,teens
1162034,common_voice_en_15903990.wav,teens
147796,common_voice_en_469299.wav,teens
1170772,common_voice_en_21541065.wav,teens
1164037,common_voice_en_18897912.wav,teens
229333,common_voice_en_571487.wav,teens
921473,common_voice_en_17291986.wav,teens
442681,common_voice_en_602122.wav,teens
454697,common_voice_en_18083693.wav,teens
323724,common_voice_en_17260149.wav,teens
431694,common_voice_en_18560334.wav,teens
620405,common_voice_en_83708.wav,teens
387445,common_voice_en_20389.wav,teens
921310,common_voice_en_17291683.wav,teens
1162280,common_voice_en_18417614.wav,teens
276214,common_voice_en_19634449.wav,teens
206635,common_voice_en_386742.wav,teens
182022,common_voice_en_20244261.wav,teens
1171187,common_voice_en_21753915.wav,teens
1008874,common_voice_en_17377708.wav,teens
1008177,common_voice_en_17280663.wav,teens
1048748,common_voice_en_17344951.wav,teens
522502,common_voice_en_19843450.wav,teens
761241,common_voice_en_64628.wav,teens
147064,common_voice_en_20917.wav,teens
1048587,common_voice_en_17272100.wav,teens
1050105,common_voice_en_122909.wav,teens
202800,common_voice_en_18108210.wav,teens
445229,common_voice_en_19733310.wav,teens
1093307,common_voice_en_23834687.wav,teens
844198,common_voice_en_20522387.wav,teens
886003,common_voice_en_700542.wav,teens
610975,common_voice_en_20877906.wav,teens
658007,common_voice_en_21995464.wav,teens
921630,common_voice_en_17441596.wav,teens
1038777,common_voice_en_21275152.wav,teens
668717,common_voice_en_23871419.wav,teens
98355,common_voice_en_19748156.wav,teens
1162426,common_voice_en_18460114.wav,teens
820390,common_voice_en_22368017.wav,teens
616007,common_voice_en_23707317.wav,teens
862235,common_voice_en_19912694.wav,teens
