,path,age
614032,common_voice_en_23177986.mp3,teens
605984,common_voice_en_17287592.mp3,teens
194013,common_voice_en_21977418.mp3,teens
844212,common_voice_en_20522409.mp3,teens
1162986,common_voice_en_18618054.mp3,teens
1169716,common_voice_en_20934379.mp3,teens
886123,common_voice_en_700664.mp3,teens
1167083,common_voice_en_19838271.mp3,teens
1168401,common_voice_en_20466460.mp3,teens
235749,common_voice_en_121237.mp3,teens
184859,common_voice_en_17689769.mp3,teens
13614,common_voice_en_18857333.mp3,teens
640863,common_voice_en_574495.mp3,teens
1162121,common_voice_en_15904122.mp3,teens
343214,common_voice_en_18667868.mp3,teens
1049200,common_voice_en_17636327.mp3,teens
313751,common_voice_en_2189358.mp3,teens
819935,common_voice_en_21719882.mp3,teens
1050447,common_voice_en_18340024.mp3,teens
692564,common_voice_en_18615039.mp3,teens
509414,common_voice_en_22151513.mp3,teens
1164956,common_voice_en_19089387.mp3,teens
238969,common_voice_en_17284545.mp3,teens
1093256,common_voice_en_23834607.mp3,teens
209927,common_voice_en_18531666.mp3,teens
706646,common_voice_en_551438.mp3,teens
1164148,common_voice_en_18945735.mp3,teens
2631,common_voice_en_671188.mp3,teens
689628,common_voice_en_23565030.mp3,teens
528949,common_voice_en_21821187.mp3,teens
1048487,common_voice_en_17270073.mp3,teens
787032,common_voice_en_18961885.mp3,teens
985723,common_voice_en_18781996.mp3,teens
692910,common_voice_en_613547.mp3,teens
616942,common_voice_en_23751954.mp3,teens
482550,common_voice_en_34473.mp3,teens
308551,common_voice_en_21535136.mp3,teens
1169494,common_voice_en_20853308.mp3,teens
1163866,common_voice_en_18858556.mp3,teens
454526,common_voice_en_18459597.mp3,teens
1162154,common_voice_en_18415693.mp3,teens
107876,common_voice_en_492758.mp3,teens
854049,common_voice_en_22470996.mp3,teens
724213,common_voice_en_23644137.mp3,teens
831243,common_voice_en_21571664.mp3,teens
510270,common_voice_en_595620.mp3,teens
1038285,common_voice_en_20860912.mp3,teens
523905,common_voice_en_155258.mp3,teens
844215,common_voice_en_20522412.mp3,teens
648285,common_voice_en_17290162.mp3,teens
185320,common_voice_en_20777740.mp3,teens
620330,common_voice_en_83627.mp3,teens
1008372,common_voice_en_17283426.mp3,teens
1170826,common_voice_en_21595127.mp3,teens
550124,common_voice_en_22145321.mp3,teens
1038549,common_voice_en_20876285.mp3,teens
173054,common_voice_en_18624826.mp3,teens
449885,common_voice_en_606266.mp3,teens
187285,common_voice_en_661255.mp3,teens
385942,common_voice_en_18841412.mp3,teens
811042,common_voice_en_19087537.mp3,teens
500400,common_voice_en_18841503.mp3,teens
604911,common_voice_en_17255830.mp3,teens
244122,common_voice_en_492699.mp3,teens
419347,common_voice_en_663333.mp3,teens
1093156,common_voice_en_23832635.mp3,teens
1049678,common_voice_en_18342045.mp3,teens
1164857,common_voice_en_19075867.mp3,teens
267804,common_voice_en_23948548.mp3,teens
419351,common_voice_en_663337.mp3,teens
1169521,common_voice_en_20878366.mp3,teens
94893,common_voice_en_17259570.mp3,teens
317565,common_voice_en_19438962.mp3,teens
1168674,common_voice_en_20562597.mp3,teens
837927,common_voice_en_22248250.mp3,teens
385922,common_voice_en_18841336.mp3,teens
1165831,common_voice_en_19429225.mp3,teens
395044,common_voice_en_691218.mp3,teens
331016,common_voice_en_17721626.mp3,teens
217174,common_voice_en_631955.mp3,teens
837574,common_voice_en_698170.mp3,teens
515033,common_voice_en_20000782.mp3,teens
1050941,common_voice_en_23883913.mp3,teens
504984,common_voice_en_18944030.mp3,teens
1051141,common_voice_en_23930215.mp3,teens
1008175,common_voice_en_17280657.mp3,teens
633155,common_voice_en_681560.mp3,teens
819532,common_voice_en_18409449.mp3,teens
1048666,common_voice_en_17272220.mp3,teens
314422,common_voice_en_19501703.mp3,teens
563955,common_voice_en_17541690.mp3,teens
1169679,common_voice_en_20920603.mp3,teens
237822,common_voice_en_20048956.mp3,teens
603911,common_voice_en_567818.mp3,teens
923600,common_voice_en_18070298.mp3,teens
921714,common_voice_en_17441713.mp3,teens
416488,common_voice_en_19577626.mp3,teens
1169093,common_voice_en_20704212.mp3,teens
1050831,common_voice_en_18638369.mp3,teens
688259,common_voice_en_17355260.mp3,teens
832484,common_voice_en_20664761.mp3,teens
399168,common_voice_en_155195.mp3,teens
620861,common_voice_en_21242996.mp3,teens
235581,common_voice_en_22077268.mp3,teens
501847,common_voice_en_20052597.mp3,teens
853907,common_voice_en_22467028.mp3,teens
1170308,common_voice_en_21250713.mp3,teens
737619,common_voice_en_23621476.mp3,teens
4530,common_voice_en_17269872.mp3,teens
632668,common_voice_en_638909.mp3,teens
1166701,common_voice_en_19591750.mp3,teens
837642,common_voice_en_698240.mp3,teens
1091763,common_voice_en_22981590.mp3,teens
670850,common_voice_en_22294304.mp3,teens
844071,common_voice_en_20502392.mp3,teens
174551,common_voice_en_19951162.mp3,teens
605974,common_voice_en_17287577.mp3,teens
921453,common_voice_en_17291935.mp3,teens
1164927,common_voice_en_19081731.mp3,teens
1050605,common_voice_en_18478376.mp3,teens
49892,common_voice_en_22299609.mp3,teens
742602,common_voice_en_23932430.mp3,teens
258661,common_voice_en_24065797.mp3,teens
509315,common_voice_en_22028896.mp3,teens
798608,common_voice_en_23877010.mp3,teens
1171255,common_voice_en_21754089.mp3,teens
262956,common_voice_en_19640956.mp3,teens
528932,common_voice_en_21821162.mp3,teens
1093617,common_voice_en_23846309.mp3,teens
514843,common_voice_en_638785.mp3,teens
311999,common_voice_en_22066824.mp3,teens
120780,common_voice_en_151863.mp3,teens
692847,common_voice_en_613483.mp3,teens
1092946,common_voice_en_23611238.mp3,teens
787798,common_voice_en_23404355.mp3,teens
348993,common_voice_en_19827419.mp3,teens
1093538,common_voice_en_23846228.mp3,teens
250406,common_voice_en_1427681.mp3,teens
618398,common_voice_en_18592289.mp3,teens
387269,common_voice_en_22499299.mp3,teens
923343,common_voice_en_17869434.mp3,teens
603991,common_voice_en_19439197.mp3,teens
386701,common_voice_en_18885291.mp3,teens
692579,common_voice_en_18615090.mp3,teens
242970,common_voice_en_19972389.mp3,teens
384622,common_voice_en_198404.mp3,teens
1162580,common_voice_en_18502499.mp3,teens
266903,common_voice_en_20649921.mp3,teens
870956,common_voice_en_22407484.mp3,teens
1165657,common_voice_en_19355264.mp3,teens
356055,common_voice_en_17701009.mp3,teens
1008374,common_voice_en_17283428.mp3,teens
155851,common_voice_en_17476346.mp3,teens
263824,common_voice_en_20917794.mp3,teens
611407,common_voice_en_677027.mp3,teens
679060,common_voice_en_18765761.mp3,teens
1166390,common_voice_en_19533013.mp3,teens
1165862,common_voice_en_19429273.mp3,teens
339317,common_voice_en_19734568.mp3,teens
39668,common_voice_en_19944135.mp3,teens
214761,common_voice_en_19809401.mp3,teens
547996,common_voice_en_19331691.mp3,teens
436946,common_voice_en_545258.mp3,teens
1163186,common_voice_en_18658119.mp3,teens
1008664,common_voice_en_17297800.mp3,teens
699038,common_voice_en_70831.mp3,teens
166675,common_voice_en_18797597.mp3,teens
288468,common_voice_en_19635464.mp3,teens
1164031,common_voice_en_18897905.mp3,teens
564435,common_voice_en_20110935.mp3,teens
1165461,common_voice_en_19312576.mp3,teens
1162034,common_voice_en_15903990.mp3,teens
147796,common_voice_en_469299.mp3,teens
1170772,common_voice_en_21541065.mp3,teens
1164037,common_voice_en_18897912.mp3,teens
229333,common_voice_en_571487.mp3,teens
921473,common_voice_en_17291986.mp3,teens
442681,common_voice_en_602122.mp3,teens
454697,common_voice_en_18083693.mp3,teens
323724,common_voice_en_17260149.mp3,teens
431694,common_voice_en_18560334.mp3,teens
620405,common_voice_en_83708.mp3,teens
387445,common_voice_en_20389.mp3,teens
921310,common_voice_en_17291683.mp3,teens
1162280,common_voice_en_18417614.mp3,teens
276214,common_voice_en_19634449.mp3,teens
206635,common_voice_en_386742.mp3,teens
182022,common_voice_en_20244261.mp3,teens
1171187,common_voice_en_21753915.mp3,teens
